pipe_number,cost_GBP,execution_time_sec
69,20461.02242,1.66
120,12088.32307,1.66
183,32345.40981,1.66
195,15018.76397,1.66
201,17466.63549,1.66
240,19814.8148,1.66
247,9638.527936,1.66
261,47285.37586,1.66
365,9600.688375,1.66
376,4806.125388,1.66
378,407303.9011,1.66
383,12255.48083,1.66
469,15665.61911,1.66
481,1001.895644,1.66
491,13123.50571,1.66
525,11352.73476,1.66
527,69358.68076,1.66
566,7983.961548,1.66
596,19617.67369,1.66
631,151192.8344,1.66
675,38507.88494,1.66
705,4988.664572,1.66
719,9473.493715,1.66
738,18376.67953,1.66
818,108430.759,1.66
853,117595.4837,1.66
855,28195.71707,1.66
882,2167.405284,1.66
906,38047.42917,1.66
917,42230.56791,1.66
923,23008.61206,1.66
935,8710.167475,1.66
939,57304.43808,1.66
945,20670.48493,1.66
953,3927.443248,1.66
957,186403.0363,1.66
