pipe_number,cost_GBP,execution_time_sec
52,3552.654058,49.263
195,7484.150284,49.263
599,5355.567672,49.263
679,34857.35811,49.263
1238,63599.7818,49.263
1672,4921.458796,49.263
1691,25197.23422,49.263
1834,25850.63473,49.263
1868,29059.95037,49.263
1918,14315.04708,49.263
2069,4843.535234,49.263
2151,50075.24884,49.263
2179,19932.70409,49.263
2237,32973.75303,49.263
2549,3914.712694,49.263
2874,7121.461471,49.263
3297,46522.18911,49.263
3628,9835.519242,49.263
4698,2568.154586,49.263
4715,158924.5276,49.263
5915,13789.82532,49.263
5985,124221.3325,49.263
6116,8314.877455,49.263
6401,61452.52431,49.263
6495,13710.14591,49.263
6601,11128.61196,49.263
7627,25898.49807,49.263
7698,9346.20249,49.263
8469,13944.89401,49.263
8486,41290.32601,49.263
8590,14027.72524,49.263
8739,101258.6385,49.263
8748,8610.106632,49.263
8902,8899.314584,49.263
9405,16630.97537,49.263
9593,18676.82568,49.263
9798,47583.5731,49.263
10246,10371.07835,49.263
10290,4613.805186,49.263
10370,14447.69551,49.263
10476,9212.210672,49.263
10579,11531.92348,49.263
10877,14474.41581,49.263
10893,2762.119298,49.263
11068,73861.75161,49.263
11504,65807.97622,49.263
11921,5198.877099,49.263
11931,55314.88243,49.263
12281,125447.7537,49.263
12315,8172.433265,49.263
12429,59772.69408,49.263
12957,4325.639536,49.263
13039,11541.32024,49.263
13320,39839.58939,49.263
13445,14429.95846,49.263
13768,53261.36548,49.263
13921,25388.99355,49.263
14348,7803.090385,49.263
14518,14589.93965,49.263
15292,13392.20062,49.263
15381,17522.5751,49.263
15555,4680.755986,49.263
15695,10939.19123,49.263
15967,202609.5318,49.263
16079,47413.90694,49.263
16182,32485.62879,49.263
16323,1520.66929,49.263
16388,7113.387377,49.263
16686,74379.88735,49.263
16901,5734.867745,49.263
17485,16279.36761,49.263
17635,9720.360709,49.263
17843,4871.568305,49.263
17885,10977.2578,49.263
17918,18855.57726,49.263
18227,7314.411576,49.263
18344,18710.53848,49.263
18419,17589.84755,49.263
18940,46467.91496,49.263
19193,142568.8978,49.263
19998,2954.352803,49.263
20103,71821.831,49.263
20488,3699.610229,49.263
21422,24346.71565,49.263
22265,56820.91981,49.263
22345,13989.54482,49.263
22752,124022.0359,49.263
23006,9660.51154,49.263
23270,6181.929522,49.263
23311,31933.31679,49.263
23470,11994.04676,49.263
23612,33612.30255,49.263
23790,39708.2446,49.263
23882,40593.90203,49.263
24002,22693.564,49.263
24057,16193.42385,49.263
24243,20534.11306,49.263
24986,16405.75772,49.263
25031,2594.941238,49.263
25481,20486.31637,49.263
25900,42021.16544,49.263
26027,2407.354612,49.263
26058,47928.80707,49.263
26790,64101.3101,49.263
26914,65330.68459,49.263
26933,144684.2778,49.263
27041,2477.91392,49.263
27114,6989.702245,49.263
27548,32538.78558,49.263
27697,34601.49834,49.263
27766,37907.5543,49.263
27892,24283.22924,49.263
28268,15787.88977,49.263
28345,3776.691993,49.263
28364,16917.89887,49.263
28635,5686.08356,49.263
28872,21599.21608,49.263
29106,18006.05237,49.263
29192,31679.75748,49.263
29537,36755.35637,49.263
29599,200034.6552,49.263
29690,37079.47917,49.263
29876,84008.53899,49.263
29947,147453.4744,49.263
30083,15719.42112,49.263
30700,12526.31075,49.263
30750,32452.20495,49.263
30820,25756.48879,49.263
30838,12575.59655,49.263
30976,9159.211529,49.263
31189,4447.783921,49.263
31916,4787.989945,49.263
31941,81349.85791,49.263
32291,23639.39708,49.263
32383,44846.29849,49.263
32693,99990.6428,49.263
32804,22954.72602,49.263
33264,3840.103411,49.263
33291,22272.70949,49.263
33368,56251.27986,49.263
34427,18282.03484,49.263
34476,1850.795404,49.263
34785,25345.61773,49.263
34815,15381.39389,49.263
34928,18929.715,49.263
34996,7569.674519,49.263
35084,151632.7746,49.263
35123,39169.86373,49.263
35820,46823.06864,49.263
35865,11232.11723,49.263
36185,5653.195043,49.263
37195,195917.6162,49.263
37291,9376.813814,49.263
37726,33310.30839,49.263
37787,105358.5005,49.263
37838,7445.431756,49.263
38234,35843.59644,49.263
38810,179797.0212,49.263
38947,15480.62948,49.263
39271,24258.04074,49.263
39291,7322.524382,49.263
39879,76069.09632,49.263
40887,119469.7291,49.263
40990,48483.23593,49.263
41141,105350.0638,49.263
41241,17754.63066,49.263
41520,44309.16084,49.263
41812,16003.68521,49.263
42093,41208.18745,49.263
42468,12727.54619,49.263
43044,115990.8991,49.263
43073,3009.783742,49.263
43076,24165.95579,49.263
43509,47713.30922,49.263
44557,123533.2368,49.263
45142,3933.975855,49.263
45300,66705.32724,49.263
45767,2162.902058,49.263
46064,9942.55796,49.263
46377,5404.976413,49.263
46617,31097.08499,49.263
46738,32805.98982,49.263
46949,5557.356473,49.263
47170,24086.05246,49.263
47531,17832.79751,49.263
48096,137912.1129,49.263
48238,7275.06531,49.263
48559,5134.798725,49.263
48958,9818.257434,49.263
49010,10411.2287,49.263
49051,193005.5661,49.263
49265,8708.811433,49.263
49457,3988.954131,49.263
49855,29155.58631,49.263
50139,19418.63779,49.263
50262,3141.943737,49.263
50349,17191.53859,49.263
50430,23354.77211,49.263
51904,25433.94077,49.263
52555,1322.59496,49.263
52958,24232.66612,49.263
53311,41096.39524,49.263
53821,22457.75765,49.263
54103,12593.04724,49.263
54298,30829.55649,49.263
54530,7396.391,49.263
54628,23673.63832,49.263
54657,66581.31155,49.263
54678,26738.04616,49.263
54838,4777.314461,49.263
54868,99131.20361,49.263
55045,57860.59542,49.263
55375,5938.68275,49.263
55747,26070.15864,49.263
55899,2490.903575,49.263
56125,13930.15715,49.263
56186,7721.63677,49.263
56382,18865.88879,49.263
56402,108301.1562,49.263
57852,17271.88836,49.263
58373,13786.66564,49.263
58550,32965.69128,49.263
59149,220335.6434,49.263
59262,20923.40985,49.263
59291,1567.693697,49.263
59414,20888.01633,49.263
59953,18329.42561,49.263
59982,52083.80861,49.263
60105,18226.39313,49.263
60521,23907.18839,49.263
60523,5768.730531,49.263
60570,76023.91895,49.263
60747,29607.72588,49.263
61885,101295.0649,49.263
62058,10963.13978,49.263
62352,16635.06941,49.263
62469,8940.663333,49.263
62493,169179.7158,49.263
62526,96869.02445,49.263
62672,4530.208836,49.263
63007,4676.143929,49.263
63400,5363.649762,49.263
63741,2878.606694,49.263
64126,2709.755556,49.263
64177,10805.8241,49.263
65001,1830.486032,49.263
65498,8432.305281,49.263
65657,164229.8821,49.263
65723,49146.2452,49.263
66322,8281.256238,49.263
66402,13884.25531,49.263
66762,11188.4263,49.263
67445,28723.97666,49.263
67454,7834.801487,49.263
67565,112887.0183,49.263
67845,53440.94766,49.263
68620,60697.41485,49.263
69823,19675.25462,49.263
70354,18857.69751,49.263
70674,3965.448703,49.263
71240,28354.86322,49.263
71315,13541.97823,49.263
71370,20572.80695,49.263
71382,4683.758472,49.263
71497,153246.1264,49.263
71573,6891.419586,49.263
72088,21308.48836,49.263
72162,24479.6379,49.263
72389,12244.04123,49.263
72499,5023.62583,49.263
72644,92071.16539,49.263
72690,20137.204,49.263
73036,6982.563609,49.263
73087,47737.80476,49.263
73186,5637.354361,49.263
73566,10954.91511,49.263
73804,80553.35966,49.263
74302,9901.877207,49.263
75294,41483.4782,49.263
75394,8696.368751,49.263
75426,33070.22848,49.263
75565,1001.149492,49.263
75803,21209.81784,49.263
75932,29176.32397,49.263
75958,34166.80103,49.263
76035,82420.38655,49.263
76212,16919.49244,49.263
76938,37463.29861,49.263
77024,3376.484393,49.263
77115,6330.459464,49.263
77372,2838.820398,49.263
78035,24740.35771,49.263
79166,23701.95302,49.263
79413,134755.1994,49.263
79512,73877.43025,49.263
79711,21556.96548,49.263
80412,3615.422457,49.263
80658,4792.5232,49.263
80672,7339.788849,49.263
80777,112406.4779,49.263
80798,7179.229647,49.263
81071,144426.0043,49.263
81080,52486.65108,49.263
81506,56283.31904,49.263
81526,6750.45131,49.263
81694,11077.14012,49.263
81728,14807.07347,49.263
81839,47346.17774,49.263
81987,26183.14234,49.263
82153,19290.25806,49.263
82161,95371.50793,49.263
82742,26920.27259,49.263
82807,6517.907647,49.263
82849,215325.5805,49.263
83021,10174.63784,49.263
83028,13781.25145,49.263
83276,3396.608408,49.263
83396,35319.78018,49.263
83413,35957.55738,49.263
84493,16225.13683,49.263
84540,30563.28769,49.263
85899,146983.0404,49.263
86153,29104.70595,49.263
86687,115914.7383,49.263
87040,11164.33619,49.263
87085,76660.57509,49.263
87670,20436.73524,49.263
87794,5174.246462,49.263
87796,34405.77859,49.263
87813,2791.442651,49.263
88004,93510.36645,49.263
88086,15768.30774,49.263
89040,103548.1248,49.263
89099,29876.4161,49.263
89130,15435.63689,49.263
89516,10357.19147,49.263
89579,8419.044948,49.263
90402,7997.010222,49.263
90448,18669.29492,49.263
90494,10291.12089,49.263
90951,51507.88206,49.263
91130,38052.63821,49.263
91933,14401.66476,49.263
92321,50533.45722,49.263
92421,11377.28759,49.263
92424,35997.226,49.263
92713,7153.093652,49.263
93211,42600.498,49.263
93445,21056.79072,49.263
93570,81149.60896,49.263
93680,14010.71992,49.263
94081,19819.97742,49.263
94166,50226.40464,49.263
94820,154965.4935,49.263
94929,17024.69527,49.263
95441,7254.899507,49.263
95530,3644.7182,49.263
95719,20315.22628,49.263
96489,33718.02723,49.263
96835,19997.95562,49.263
97936,21049.46924,49.263
97950,45358.47669,49.263
98225,84479.59148,49.263
98584,68717.89861,49.263
98749,180607.6569,49.263
98824,40082.57036,49.263
99044,14505.07131,49.263
99276,8038.409777,49.263
99352,27611.70711,49.263
99737,113656.576,49.263
