id,target_burst_rate,target_leakage_rate,target_supply_int,optimal_cost_gbp,heuristic_cost_gbp,cost_difference_gbp,heuristic_cost_excess_%,n_optimal_pipes,n_pipes_heuristic,correct_pipes_selected,pipe_accuracy,Xpress_time_sec,heuristics_time_sec,n_constraints,adjustment
br10_lr10000_si10,10,10000,10,9186326.616,9306128.194,119801.5781,1.304129313,126,125,122,0.968253968,3.085,2.014333,3,wo_adjustment
br10_lr10000_si50,10,10000,50,5591254.929,5631695.55,40440.62157,0.72328345,144,144,142,0.986111111,1.943,2.537549,3,wo_adjustment
br10_lr25000_si50,10,25000,50,5591254.929,5631695.55,40440.62157,0.72328345,144,144,142,0.986111111,1.818,2.22691,3,wo_adjustment
br10_lr28000_si10,10,28000,10,9186326.616,9306128.194,119801.5781,1.304129313,126,125,122,0.968253968,2.408,2.159449,3,wo_adjustment
br20_lr15000_si20,20,15000,20,4114081.347,4422224.467,308143.1207,7.489961785,34,36,33,0.970588235,2.04,0.943987,3,wo_adjustment
br25_lr25000_si15,25,25000,15,5819042.94,5943220.692,124177.7516,2.133989264,50,52,50,1,2.058,1.134942,3,wo_adjustment
br25_lr30000_si60,25,30000,60,968083.5258,1055521.09,87437.56404,9.032026855,14,18,14,1,8.33,0.726765,3,wo_adjustment
br28_lr10000_si50,28,10000,50,3391623.085,3406964.342,15341.25757,0.452327903,90,90,88,0.977777778,1.853,1.660365,3,wo_adjustment
br28_lr25000_si10,28,25000,10,8898009.863,9135813.742,237803.8793,2.672551312,92,95,92,1,4.157,1.783153,3,wo_adjustment
br30_lr10000_si10,30,10000,10,8898009.863,9167765.495,269755.6324,3.031640069,92,100,92,1,4.594,2.012625,3,wo_adjustment
br30_lr29000_si92,30,29000,92,315783.2239,458339.4259,142556.2021,45.14369077,13,14,12,0.923076923,4.536,0.634301,2,wo_adjustment
br30_lr45000_si50,30,45000,50,994478.4058,1018216.238,23737.8321,2.386963051,10,8,6,0.6,8.346,0.657246,2,wo_adjustment
br35_lr15000_si60,35,15000,60,1605420.242,1605674.721,254.4796585,0.01585128,36,36,35,0.972222222,4.607,0.957729,3,wo_adjustment
br35_lr30000_si60,35,30000,60,631673.3434,705040.856,73367.51259,11.61478688,4,5,3,0.75,3.887,0.56468,3,wo_adjustment
br40_lr10000_si60,40,10000,60,3391623.085,3406964.342,15341.25757,0.452327903,90,90,88,0.977777778,2.427,1.620955,3,wo_adjustment
br45_lr10000_si55,45,10000,55,3391623.085,3406964.342,15341.25757,0.452327903,90,90,88,0.977777778,2.5,1.975302,2,wo_adjustment
br45_lr45000_si29,45,45000,29,2453531.513,2519639.118,66107.60494,2.694385811,21,21,20,0.952380952,3.403,0.72061,1,wo_adjustment
br45_lr30000_si98,45,30000,98,37151.5352,38047.42917,895.8939689,2.411458811,2,1,0,0,1.924,0.482332,1,wo_adjustment
br35_lr48000_si98,35,48000,98,90138.93042,122484.3402,32345.40981,35.88395121,3,4,3,1,5.158,0.514254,1,wo_adjustment
br25_lr48000_si98,25,48000,98,869205.7839,871373.1892,2167.405293,0.249354679,26,27,26,1,10.38,1.053584,1,wo_adjustment
br20_lr48000_si98,20,48000,98,1685371.516,1688824.047,3452.530271,0.204852772,34,34,33,0.970588235,1.986,1.048222,1,wo_adjustment
br15_lr48000_si98,15,48000,98,2957113.013,2958950.389,1837.376087,0.062134118,69,69,68,0.985507246,2.33,1.407941,1,wo_adjustment
br10_lr48000_si98,10,48000,98,5591254.929,5631695.55,40440.62157,0.72328345,144,144,142,0.986111111,2.817,2.55107,1,wo_adjustment
br45_lr25000_si98,45,25000,98,117678.2148,117678.2148,3.77E-06,3.20E-09,3,3,3,1,1.735,0.515785,1,wo_adjustment
br45_lr20000_si98,45,20000,98,557073.4291,557073.4291,2.42E-05,4.34E-09,14,14,14,1,1.866,0.697424,1,wo_adjustment
br45_lr15000_si98,45,15000,98,1605420.242,1605674.721,254.4796585,0.01585128,36,36,35,0.972222222,1.66,0.875928,1,wo_adjustment
br45_lr10000_si98,45,10000,98,3391623.085,3406964.342,15341.25757,0.452327903,90,90,88,0.977777778,1.767,1.61218,1,wo_adjustment
br45_lr45000_si45,45,45000,45,1172273.864,1322214.758,149940.8935,12.79060278,8,10,8,1,1.776,0.606806,1,wo_adjustment
br45_lr45000_si40,45,45000,40,1435451.642,1473407.592,37955.94994,2.644181721,12,11,10,0.833333333,1.969,0.682007,1,wo_adjustment
br45_lr45000_si30,45,45000,30,2331158.138,2440408.007,109249.8691,4.686506133,17,20,17,1,1.782,0.751719,1,wo_adjustment
br45_lr45000_si20,45,45000,20,4114081.347,4413514.3,299432.9532,7.278245809,34,35,33,0.970588235,1.809,1.048589,1,wo_adjustment
br45_lr20000_si18,45,20000,18,4663027.812,4668454.668,5426.855503,0.116380509,40,39,38,0.95,2.126,1.172419,2,wo_adjustment
br45_lr18000_si50,45,18000,50,1129818.181,1159704.492,29886.31104,2.645231908,13,15,10,0.769230769,2.102,0.726057,2,wo_adjustment
br23_lr17000_si98,23,17000,98,1194507.901,1521964.691,327456.7905,27.41353074,27,31,26,0.962962963,1.824,0.920313,2,wo_adjustment
br15_lr30000_si98,15,30000,98,2957113.013,2958950.389,1837.376087,0.062134118,69,69,68,0.985507246,1.949,1.374984,2,wo_adjustment
br25_lr45000_si34,25,45000,34,1838800.361,1850976.804,12176.44335,0.662194962,16,16,15,0.9375,1.755,0.732023,2,wo_adjustment
br15_lr45000_si45,15,45000,45,2957113.013,2958950.389,1837.376087,0.062134118,69,69,68,0.985507246,2.022,1.514432,2,wo_adjustment
br10_lr10000_si10,10,10000,10,9186326.615712997,9216106.405271735,29779.78955873847,0.3241751660320986,126,123,120,0.9523809523809523,3.0849999999999946,9.563919,3,w_adjustment
